INSCRICAO_IMOBILIARIA;CONTRIBUINTE;ENDERECO;QUADRA;LOTE;AREA_LOTE;AREA_UNIDADE;TESTADA_M;OCUPACAO;SITUACAO
406.800.0186.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 13;01;13;312,7;0;12;Vago;Ativo
406.800.0198.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT.14;01;14;312;0;12;Vago;Ativo
406.800.0210.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 15;01;15;311,21;0;12;Vago;Ativo
406.800.0222.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT.16;01;16;310,42;0;12;Vago;Ativo
406.800.0234.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 17;01;17;309,63;0;12;Vago;Ativo
406.800.0246.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 18;01;18;308,84;0;12;Vago;Ativo
406.800.0258.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 19;01;19;308,05;0;12;Vago;Ativo
406.800.0270.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 20;01;20;307,28;0;12;Vago;Ativo
406.800.0282.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 21;01;21;306,47;0;12;Vago;Ativo
406.800.0294.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 22;01;22;305,68;0;12;Vago;Ativo
406.800.0306.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 23;01;23;304,89;0;12;Vago;Ativo
406.800.0318.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 24;01;24;304,1;0;12;Vago;Ativo
406.800.0362.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.01 LT. 25;01;25;350,48;0;10;Vago;Ativo
406.801.0011.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 01;02;01;352,89;0;10,55;Vago;Ativo
406.801.0023.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 02;02;02;300;0;12;Vago;Ativo
406.801.0035.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 03;02;03;300;0;12;Vago;Ativo
406.801.0047.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 04;02;04;300;0;12;Vago;Ativo
406.801.0059.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 05;02;05;300;0;12;Vago;Ativo
406.801.0071.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 06;02;06;300;0;12;Vago;Ativo
406.801.0083.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT.07;02;07;300;0;12;Vago;Ativo
406.801.0095.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 08;02;08;300;0;12;Vago;Ativo
406.801.0107.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 09;02;09;300;0;12;Vago;Ativo
406.801.0119.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 10;02;10;300;0;12;Vago;Ativo
406.801.0131.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 11;02;11;300;0;12;Vago;Ativo
406.801.0143.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.02 LT. 12;02;12;300;0;12;Vago;Ativo
406.801.0178.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.02 LT.13;02;13;350,63;0;21,05;Vago;Ativo
406.801.0192.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.02 LT. 14;02;14;300,84;0;14,5;Vago;Ativo
406.801.0231.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 15;02;15;351,59;0;22,42;Vago;Ativo
406.801.0243.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 16;02;16;300;0;12;Vago;Ativo
406.801.0255.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 17;02;17;300;0;12;Vago;Ativo
406.801.0267.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 18;02;18;300;0;12;Vago;Ativo
406.801.0279.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 19;02;19;300;0;12;Vago;Ativo
406.801.0291.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT.20;02;20;300;0;12;Vago;Ativo
406.801.0303.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 21;02;21;300;0;12;Vago;Ativo
406.801.0315.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 22;02;22;300;0;12;Vago;Ativo
406.801.0327.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 23;02;23;300;0;12;Vago;Ativo
406.801.0339.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 24;02;24;300;0;12;Vago;Ativo
406.801.0351.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 25;02;25;300;0;12;Vago;Ativo
406.801.0363.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.02 LT. 26;02;26;300;0;12;Vago;Ativo
406.801.0400.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.02 LT. 27;02;27;350,87;0;19,49;Vago;Ativo
406.802.0012.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 28;03;28;362,31;0;11,71;Vago;Ativo
406.802.0024.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 01;03;01;300;0;12;Vago;Ativo
406.802.0036.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 02;03;02;300;0;12;Vago;Ativo
406.802.0048.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT.03;03;03;300;0;12;Vago;Ativo
406.802.0060.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 04;03;04;300;0;12;Vago;Ativo
406.802.0072.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 05;03;05;300;0;12;Vago;Ativo
406.802.0084.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 06;03;06;300;0;12;Vago;Ativo
406.802.0096.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 07;03;07;300;0;12;Vago;Ativo
406.802.0108.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 08;03;08;300;0;12;Vago;Ativo
406.802.0120.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 09;03;09;300;0;12;Vago;Ativo
406.802.0132.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 10;03;10;300;0;12;Vago;Ativo
406.802.0144.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 11;03;11;300;0;12;Vago;Ativo
406.802.0156.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 12;03;12;300;0;12;Vago;Ativo
406.802.0195.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.03 LT. 13;03;13;437,47;0;23,18;Vago;Ativo
406.802.0236.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 14;03;14;356,36;0;12,18;Vago;Ativo
406.802.0248.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 15;03;15;300;0;12;Vago;Ativo
406.802.0260.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 16;03;16;300;0;12;Vago;Ativo
406.802.0272.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 17;03;17;300;0;12;Vago;Ativo
406.802.0284.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 18;03;18;300;0;12;Vago;Ativo
406.802.0296.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 19;03;19;300;0;12;Vago;Ativo
406.802.0308.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 20;03;20;300;0;12;Vago;Ativo
406.802.0320.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 21;03;21;300;0;12;Vago;Ativo
406.802.0332.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 22;03;22;300;0;12;Vago;Ativo
406.802.0344.000;SPE RESIDENCIAL BELEM LTDA;EMILIA RIBEIRO SOARES, 0, QD.03 LT. 23;03;23;300;0;12;Vago;Ativo
406.802.0356.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 24;03;24;300;0;12;Vago;Ativo
406.802.0368.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 25;03;25;300;0;12;Vago;Ativo
406.802.0380.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 26;03;26;300;0;12;Vago;Ativo
406.802.0422.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, QD.03 LT. 27;03;27;501,79;0;22,04;Vago;Ativo
406.803.0012.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 01;04;01;300;0;12;Vago;Ativo
406.803.0024.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 02;04;02;300;0;12;Vago;Ativo
406.803.0036.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 03;04;03;300;0;12;Vago;Ativo
406.803.0048.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 04;04;04;300;0;12;Vago;Ativo
406.803.0060.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 05;04;05;300;0;12;Vago;Ativo
406.803.0072.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 06;04;06;300;0;12;Vago;Ativo
406.803.0084.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 07;04;07;300;0;12;Vago;Ativo
406.803.0096.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 08;04;08;300;0;12;Vago;Ativo
406.803.0108.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 9;04;09;300;0;12;Vago;Ativo
406.803.0120.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 10;04;10;300;0;12;Vago;Ativo
406.803.0132.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 11;04;11;300;0;12;Vago;Ativo
406.803.0168.000;SPE RESIDENCIAL BELEM LTDA;MIZAEL DE MORAIS FILHO, 0, QD. 04 LT. 12;04;12;378,1;0;22,44;Vago;Ativo
406.803.0217.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 13;04;13;561,25;0;19,39;Vago;Ativo
406.803.0229.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD. 04 LT. 14;04;14;300;0;12;Vago;Ativo
406.803.0241.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 15;04;15;300;0;12;Vago;Ativo
406.803.0253.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 16;04;16;300;0;12;Vago;Ativo
406.803.0265.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 17;04;17;300;0;12;Vago;Ativo
406.803.0277.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 18;04;18;300;0;12;Vago;Ativo
406.803.0289.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 19;04;19;300;0;12;Vago;Ativo
406.803.0301.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 20;04;20;300;0;12;Vago;Ativo
406.803.0313.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 21;04;21;300;0;12;Vago;Ativo
406.803.0325.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 22;04;22;300;0;12;Vago;Ativo
406.803.0337.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 23;04;23;300;0;12;Vago;Ativo
406.803.0349.000;SPE RESIDENCIAL BELEM LTDA;ITAMAR  MARQUEZAN, 0, QD.04 LT. 24;04;24;300;0;12;Vago;Ativo
406.803.0389.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 25;04;25;367,45;0;23,04;Vago;Ativo
406.803.0403.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 26;04;26;301,7;0;14,18;Vago;Ativo
406.803.0437.000;SPE RESIDENCIAL BELEM LTDA;JAIRO BELEM SOARES RIBEIRO, 0, QD.04 LT. 27;04;27;353,34;0;15,83;Vago;Ativo
406.804.0116.000;PREFEITURA MUNICIPAL DE ANAPOLIS;ITAMAR  MARQUEZAN, 0, AREA INSTITUCIONAL;0;area;5716,19;0;115,85;Vago;Ativo
406.804.0185.000;PREFEITURA MUNICIPAL DE ANAPOLIS;ITAMAR  MARQUEZAN, 0, AREA VERDE 01;0;area I;2658,88;0;41,47;Vago;Ativo
406.805.0149.000;SPE RESIDENCIAL BELEM LTDA;JOSE DE ARAUJO BORGES, 0, AREA REMANESCENTE 1area;10572,53;0;128,42;Vago;Ativo
406.805.0439.000;SPE RESIDENCIAL BELEM LTDA;MIZAEL DE MORAIS FILHO, 0, AREA REMANESCENTE 2area reman;12579,64;0;170,41;Vago;Ativo
406.806.0023.000;PREFEITURA MUNICIPAL DE ANAPOLIS;JAIRO BELEM SOARES RIBEIRO, 0, AREA VERDE 02;0;AREA;194,85;0;23,13;Vago;Ativo
