Inscrição,Origem,Endereço,Tributo,Ano,Mês,Situação,Valor Atual,Juros,Multa,Total Divida,Vencidas,A Vencer
105.377.0235.000,Imóvel,Avenida AV. CJ-01         0 QD.06 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.382.0049.000,Imóvel,Rua CJ-06         0 QD.11 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,320.88,4.81,16.05,341.74,2,0
105.382.0109.000,Imóvel,Rua CJ-06         0 QD.11 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.382.0109.000,Imóvel,Rua CJ-06         0 QD.11 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.382.0235.000,Imóvel,Rua CJ-05         0 QD.11 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.382.0235.000,Imóvel,Rua CJ-05         0 QD.11 LT. 16 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.382.0247.000,Imóvel,Rua CJ-05         0 QD.11 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.382.0247.000,Imóvel,Rua CJ-05         0 QD.11 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.383.0259.000,Imóvel,Rua CJ-06         0 QD.12 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.383.0259.000,Imóvel,Rua CJ-06         0 QD.12 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.383.0259.000,Imóvel,Rua CJ-06         0 QD.12 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.383.0259.000,Imóvel,Rua CJ-06         0 QD.12 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.384.0133.000,Imóvel,Rua CJ-11         0 QD.13 LT. 11 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,29.23,4.68,5.85,39.76,1,0
105.384.0133.000,Imóvel,Rua CJ-11         0 QD.13 LT. 11 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.387.0061.000,Imóvel,Rua CJ-14         0 QD.16 LT. 05 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,31.8,2.54,6.36,40.70,1,0
105.387.0061.000,Imóvel,Rua CJ-14         0 QD.16 LT. 05 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.388.0049.000,Imóvel,Rua CJ-15         0 QD.17 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.388.0049.000,Imóvel,Rua CJ-15         0 QD.17 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.388.0049.000,Imóvel,Rua CJ-15         0 QD.17 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.388.0049.000,Imóvel,Rua CJ-15         0 QD.17 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.389.0295.000,Imóvel,Rua CJ-15         0 QD.18 LT. 21 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.389.0295.000,Imóvel,Rua CJ-15         0 QD.18 LT. 21 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.389.0295.000,Imóvel,Rua CJ-15         0 QD.18 LT. 21 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.389.0295.000,Imóvel,Rua CJ-15         0 QD.18 LT. 21 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.391.0328.000,Imóvel,Rua CJ-17         0 QD.20 LT. 23 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.391.0328.000,Imóvel,Rua CJ-17         0 QD.20 LT. 23 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.392.0209.000,Imóvel,Rua CJ-22         0 QD.21 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.392.0209.000,Imóvel,Rua CJ-22         0 QD.21 LT. 04 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1289.92,58.04,151.57,1499.53,8,0
105.392.0222.000,Imóvel,Rua CJ-22         0 QD.21 LT. 05 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.392.0222.000,Imóvel,Rua CJ-22         0 QD.21 LT. 05 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1289.92,58.04,151.57,1499.53,8,0
105.392.0235.000,Imóvel,Rua CJ-22         0 QD.21 LT. 06 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.392.0235.000,Imóvel,Rua CJ-22         0 QD.21 LT. 06 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1289.92,58.04,151.57,1499.53,8,0
105.393.0274.000,Imóvel,Rua CJ-24         0 QD.22 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.393.0274.000,Imóvel,Rua CJ-24         0 QD.22 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1289.52,58.02,151.5,1499.04,8,0
105.393.0274.000,Imóvel,Rua CJ-24         0 QD.22 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.393.0274.000,Imóvel,Rua CJ-24         0 QD.22 LT. 17 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1289.49,206.32,257.9,1753.71,1,0
105.394.0013.000,Imóvel,Rua CJ-24         0 QD.23 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,Parcelamento DA,2023,09,Dívida Parcelada,838.09,0.0,0.0,838.09,0,2
105.394.0306.000,Imóvel,Rua CJ-25         0 QD.23 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.394.0306.000,Imóvel,Rua CJ-25         0 QD.23 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1289.52,58.02,151.5,1499.04,8,0
105.396.0223.000,Imóvel,Rua CJ-14         0 QD. 25 LT. 15 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.396.0223.000,Imóvel,Rua CJ-14         0 QD. 25 LT. 15 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.396.0223.000,Imóvel,Rua CJ-14         0 QD. 25 LT. 15 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.396.0223.000,Imóvel,Rua CJ-14         0 QD. 25 LT. 15 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.398.0066.000,Imóvel,Rua CJ-13         0 QD.27 LT. 03 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.398.0066.000,Imóvel,Rua CJ-13         0 QD.27 LT. 03 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.405.0165.000,Imóvel,Avenida CJ-02         0 QD.34 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.405.0165.000,Imóvel,Avenida CJ-02         0 QD.34 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1325.6,59.66,155.77,1541.03,8,0
105.405.0165.000,Imóvel,Avenida CJ-02         0 QD.34 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.405.0165.000,Imóvel,Avenida CJ-02         0 QD.34 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1325.6,212.1,265.12,1802.82,1,0
105.407.0274.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.407.0274.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1540.24,69.32,180.98,1790.54,8,0
105.407.0274.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.407.0274.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 18 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1540.21,246.43,308.04,2094.68,1,0
105.407.0289.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.407.0289.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1540.24,69.32,180.98,1790.54,8,0
105.407.0289.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.407.0289.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.36 LT. 19 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1540.21,246.43,308.04,2094.68,1,0
105.408.0116.000,Imóvel,Rua CJ-25         0 QD.37 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.408.0116.000,Imóvel,Rua CJ-25         0 QD.37 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.409.0090.000,Imóvel,Rua CJ-25         0 QD.38 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.409.0090.000,Imóvel,Rua CJ-25         0 QD.38 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.409.0090.000,Imóvel,Rua CJ-25         0 QD.38 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.409.0090.000,Imóvel,Rua CJ-25         0 QD.38 LT. 07 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.409.0458.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.38 LT. 33 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.409.0458.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.38 LT. 33 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.409.0458.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.38 LT. 33 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.409.0458.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.38 LT. 33 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,1283.51,205.36,256.7,1745.57,1,0
105.411.0358.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.40 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.411.0358.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.40 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.411.0358.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.40 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.411.0358.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.40 LT. 25 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,2246.14,359.38,449.23,3054.75,1,0
105.412.0117.000,Imóvel,Rua CJ-25         0 QD.41 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.412.0117.000,Imóvel,Rua CJ-25         0 QD.41 LT. 09 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.414.0298.000,Imóvel,Rua CJ-26         0 QD.43 LT. 20 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.414.0298.000,Imóvel,Rua CJ-26         0 QD.43 LT. 20 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1283.52,57.76,150.84,1492.12,8,0
105.418.0015.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.47 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.418.0015.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.47 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,2246.16,101.08,263.91,2611.15,8,0
105.418.0015.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.47 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.418.0015.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.47 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,2246.14,359.38,449.23,3054.75,1,0
105.419.0025.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.48 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.419.0025.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.48 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,2246.16,101.08,263.91,2611.15,8,0
105.419.0025.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.48 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.419.0025.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 QD.48 LT. 01 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,2246.14,359.38,449.23,3054.75,1,0
105.420.0059.000,Imóvel,Rua CJ-29         0 QD.49 LT. 02 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.420.0059.000,Imóvel,Rua CJ-29         0 QD.49 LT. 02 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1711.36,77.02,201.06,1989.44,8,0
105.421.0148.000,Imóvel,Rua CJ-30         0 QD.50 LT. 06 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,235.31,30.59,47.06,312.96,1,0
105.426.0070.000,Imóvel,Rua CJ-35         0 QD.55 LT. 03 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.426.0070.000,Imóvel,Rua CJ-35         0 QD.55 LT. 03 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,1711.36,77.02,201.06,1989.44,8,0
105.427.0077.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 APM 01 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.427.0077.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 APM 01 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,65351.52,2940.84,7678.83,75971.19,8,0
105.427.0077.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 APM 01 RESIDENCIAL CAMPOS DO JORDAO,CIP - DA,2022,01,Dívida Ativa,24.27,3.88,4.85,33.00,1,0
105.427.0077.000,Imóvel,Avenida CAMPOS DO JORDAO 01         0 APM 01 RESIDENCIAL CAMPOS DO JORDAO,ITU - DA,2022,01,Dívida Ativa,65351.54,10456.25,13070.31,88878.10,1,0
105.428.0040.000,Imóvel,Rua CJ - 08         0 APM 02 RESIDENCIAL CAMPOS DO JORDAO,CIP,2023,01,Dívida Corrente,26.52,2.12,5.3,33.94,1,0
105.428.0040.000,Imóvel,Rua CJ - 08         0 APM 02 RESIDENCIAL CAMPOS DO JORDAO,ITU,2023,01,Dívida Corrente,35175.84,1582.92,4133.18,40891.94,8,0
