Inscrição,Quadra,Lote,Origem,Tributo,Ano,Mês,Situação,Valor Atual,Juros,Multa,Total Divida,Vencidas,A Vencer
104.433.0057.000,19,11,Imóvel,ITU,2024,01,Dívida Corrente,1812.88,0.0,0.0,1812.88,0,8
104.433.0057.000,19,11,Imóvel,Capin. RoçaD.A,2022,10,Dívida Ativa,424.91,50.99,84.98,560.88,1,0
104.433.0057.000,19,11,Imóvel,Capin. RoçaD.A,2023,11,Dívida Ativa,451.47,4.51,9.03,465.01,1,0
104.433.0057.000,19,11,Imóvel,Capin. RoçaD.A,2023,05,Dívida Ativa,451.47,27.09,90.29,568.85,1,0
104.511.0455.000,10,32,Imóvel,IPTU,2024,01,Dívida Corrente,992.46,0.0,0.0,992.46,0,7
104.511.0455.000,10,32,Imóvel,TSU,2024,01,Dívida Corrente,170.1,0.0,0.0,170.1,0,1
104.511.0467.000,10,33,Imóvel,IPTU,2024,01,Dívida Corrente,1108.24,0.0,0.0,1108.24,0,7
104.511.0467.000,10,33,Imóvel,TSU,2024,01,Dívida Corrente,170.1,0.0,0.0,170.1,0,1
105.048.0012.001,28,10-B,Imóvel,IPTU,2024,01,Dívida Corrente,776.3,0.0,0.0,776.3,0,5
105.048.0012.001,28,10-B,Imóvel,TSU,2024,01,Dívida Corrente,245.17,0.0,0.0,245.17,0,1
105.048.0012.002,28,10-B,Imóvel,IPTU,2024,01,Dívida Corrente,333.72,0.0,0.0,333.72,0,2
105.048.0012.002,28,10-B,Imóvel,TSU,2024,01,Dívida Corrente,105.39,0.0,0.0,105.39,0,1
105.048.0012.003,28,10-B,Imóvel,IPTU,2024,01,Dívida Corrente,474.93,0.0,0.0,474.93,0,3
105.048.0012.003,28,10-B,Imóvel,TSU,2024,01,Dívida Corrente,149.99,0.0,0.0,149.99,0,1
105.130.0086.000,27A,01,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.130.0086.000,27A,01,Imóvel,ITU,2024,01,Dívida Corrente,1694.48,0.0,0.0,1694.48,0,8
105.154.0174.001,3,46-,Imóvel,IPTU,2024,01,Dívida Corrente,169.21,0.0,0.0,169.21,0,1
105.154.0174.001,3,46-,Imóvel,TSU,2024,01,Dívida Corrente,85.37,0.0,0.0,85.37,0,1
105.154.0174.002,03,46,Imóvel,IPTU,2024,01,Dívida Corrente,202.24,0.0,0.0,202.24,0,1
105.154.0174.002,03,46,Imóvel,TSU,2024,01,Dívida Corrente,96.81,0.0,0.0,96.81,0,1
105.279.0351.001,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2304.88,0.0,0.0,2304.88,0,8
105.279.0351.001,--,--,Imóvel,TSU,2024,01,Dívida Corrente,229.23,0.0,0.0,229.23,0,1
105.279.0351.002,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2508.56,0.0,0.0,2508.56,0,8
105.279.0351.002,--,--,Imóvel,TSU,2024,01,Dívida Corrente,249.48,0.0,0.0,249.48,0,1
105.279.0351.002,--,--,Imóvel,Parcelamento DA,2023,09,Dívida Corrente,3109.6,13.85,46.22,3169.67,2,5
105.279.0351.003,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2508.56,0.0,0.0,2508.56,0,8
105.279.0351.003,--,--,Imóvel,TSU,2024,01,Dívida Corrente,249.48,0.0,0.0,249.48,0,1
105.279.0351.004,--,--,Imóvel,IPTU,2024,01,Dívida Corrente,2508.56,0.0,0.0,2508.56,0,8
105.279.0351.004,--,--,Imóvel,TSU,2024,01,Dívida Corrente,249.48,0.0,0.0,249.48,0,1
105.307.1083.000,--,--,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.307.1083.000,--,--,Imóvel,ITU,2024,01,Dívida Corrente,14098.56,0.0,0.0,14098.56,0,8
105.311.0558.000,02,25,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.311.0558.000,02,25,Imóvel,ITU,2024,01,Dívida Corrente,3663.2,0.0,0.0,3663.2,0,8
105.322.0262.000,13,17,Imóvel,Parcelamento DA,2023,12,Dívida Parcelada,3659.75,0.0,0.0,3659.75,0,18
105.350.0307.000,23,19,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.350.0307.000,23,19,Imóvel,ITU,2024,01,Dívida Corrente,2140.96,0.0,0.0,2140.96,0,8
105.350.0307.000,23,19,Imóvel,CIP - DA,2023,01,Dívida Ativa,27.77,2.5,5.55,35.82,1,0
105.350.0307.000,23,19,Imóvel,ITU - DA,2023,01,Dívida Ativa,2141.14,192.7,428.23,2762.07,1,0
105.372.0032.000,01,03,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0032.000,01,03,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0044.000,01,04,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0044.000,01,04,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0068.000,01,06,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0068.000,01,06,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0080.000,01,07,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0080.000,01,07,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0092.000,01,08,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0092.000,01,08,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0104.000,01,09,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0104.000,01,09,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0116.000,01,10,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0116.000,01,10,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0128.000,01,11,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0128.000,01,11,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0140.000,01,12,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0140.000,01,12,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0152.000,01,13,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0152.000,01,13,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0164.000,01,14,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0164.000,01,14,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0176.000,01,15,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0176.000,01,15,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0188.000,01,16,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0188.000,01,16,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0200.000,01,17,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0200.000,01,17,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0302.000,01,19,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0302.000,01,19,Imóvel,ITU,2024,01,Dívida Corrente,2121.76,0.0,0.0,2121.76,0,8
105.372.0458.000,01,32,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0458.000,01,32,Imóvel,ITU,2024,01,Dívida Corrente,1612.88,0.0,0.0,1612.88,0,8
105.372.0494.000,01,35,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0494.000,01,35,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.372.0506.000,01,36,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.372.0506.000,01,36,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0022.000,02,02,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0022.000,02,02,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0046.000,02,04,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0046.000,02,04,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0106.000,02,09,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0106.000,02,09,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0130.000,02,11,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0130.000,02,11,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0154.000,02,13,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0154.000,02,13,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0166.000,02,14,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0166.000,02,14,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0166.000,02,14,Imóvel,CIP - DA,2023,01,Dívida Ativa,27.77,2.5,5.55,35.82,1,0
105.373.0166.000,02,14,Imóvel,ITU - DA,2023,01,Dívida Ativa,1344.08,120.97,268.82,1733.87,1,0
105.373.0202.000,02,17,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0202.000,02,17,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0298.000,02,20,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0298.000,02,20,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0334.000,02,23,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0334.000,02,23,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0334.000,02,23,Imóvel,CIP - DA,2022,01,Dívida Ativa,25.42,4.32,5.08,34.82,1,0
105.373.0334.000,02,23,Imóvel,ITU - DA,2022,01,Dívida Ativa,1344.09,228.5,268.82,1841.41,1,0
105.373.0358.000,02,25,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0358.000,02,25,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0358.000,02,25,Imóvel,CIP - DA,2023,01,Dívida Ativa,27.77,2.5,5.55,35.82,1,0
105.373.0358.000,02,25,Imóvel,ITU - DA,2023,01,Dívida Ativa,1344.08,120.97,268.82,1733.87,1,0
105.373.0394.000,02,28,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0394.000,02,28,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0430.000,02,31,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0430.000,02,31,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0442.000,02,32,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0442.000,02,32,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0454.000,02,33,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0454.000,02,33,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.373.0466.000,02,34,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.373.0466.000,02,34,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0090.000,03,07,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0090.000,03,07,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0090.000,03,07,Imóvel,CIP - DA,2023,01,Dívida Ativa,27.77,2.5,5.55,35.82,1,0
105.374.0090.000,03,07,Imóvel,ITU - DA,2023,01,Dívida Ativa,1344.08,120.97,268.82,1733.87,1,0
105.374.0102.000,03,08,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0102.000,03,08,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0114.000,03,09,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0114.000,03,09,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0126.000,03,10,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0126.000,03,10,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0138.000,03,11,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0138.000,03,11,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0150.000,03,12,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0150.000,03,12,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0162.000,03,13,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0162.000,03,13,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0174.000,03,14,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0174.000,03,14,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0186.000,03,15,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0186.000,03,15,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0198.000,03,16,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0198.000,03,16,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0210.000,03,17,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0210.000,03,17,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0240.000,03,18,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0240.000,03,18,Imóvel,ITU,2024,01,Dívida Corrente,1987.28,0.0,0.0,1987.28,0,8
105.374.0270.000,03,19,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0270.000,03,19,Imóvel,ITU,2024,01,Dívida Corrente,1987.28,0.0,0.0,1987.28,0,8
105.374.0282.000,03,20,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0282.000,03,20,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0294.000,03,21,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0294.000,03,21,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0306.000,03,22,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0306.000,03,22,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0318.000,03,23,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0318.000,03,23,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0330.000,03,24,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0330.000,03,24,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.374.0330.000,03,24,Imóvel,CIP - DA,2022,01,Dívida Ativa,25.42,4.32,5.08,34.82,1,0
105.374.0330.000,03,24,Imóvel,ITU - DA,2022,01,Dívida Ativa,1344.09,228.5,268.82,1841.41,1,0
105.374.0330.000,03,24,Imóvel,CIP - DA,2023,01,Dívida Ativa,27.77,2.5,5.55,35.82,1,0
105.374.0330.000,03,24,Imóvel,ITU - DA,2023,01,Dívida Ativa,1344.08,120.97,268.82,1733.87,1,0
105.374.0474.000,03,36,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.374.0474.000,03,36,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0010.000,04,01,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0010.000,04,01,Imóvel,ITU,2024,01,Dívida Corrente,1987.28,0.0,0.0,1987.28,0,8
105.375.0022.000,04,02,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0022.000,04,02,Imóvel,ITU,2024,01,Dívida Corrente,1612.88,0.0,0.0,1612.88,0,8
105.375.0034.000,04,03,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0034.000,04,03,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0046.000,04,04,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0046.000,04,04,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0058.000,04,05,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0058.000,04,05,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0070.000,04,06,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0070.000,04,06,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0082.000,04,07,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0082.000,04,07,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0094.000,04,08,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0094.000,04,08,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0106.000,04,09,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0106.000,04,09,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0118.000,04,10,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0118.000,04,10,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0130.000,04,11,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0130.000,04,11,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0142.000,04,12,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0142.000,04,12,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0256.000,04,20,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0256.000,04,20,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0268.000,04,21,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0268.000,04,21,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0292.000,04,23,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0292.000,04,23,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
105.375.0304.000,04,24,Imóvel,CIP,2024,01,Dívida Corrente,26.52,0.0,0.0,26.52,0,1
105.375.0304.000,04,24,Imóvel,ITU,2024,01,Dívida Corrente,1344.08,0.0,0.0,1344.08,0,8
