Origem,Inscrição,Endereço,Matrícula,Dívidas
Imóvel,105.373.0358.000,"Rua CJ-18         0 QD.02 LT. 25 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 02 25",105.373.0358.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.374.0090.000,"Avenida CJ-02         0 QD.03 LT. 07 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 03 07",105.374.0090.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.374.0330.000,"Rua CJ-18         0 QD.03 LT. 24 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 03 24",105.374.0330.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.377.0199.000,"Avenida AV. CJ-01         0 QD.06 LT. 13 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 06 13",105.377.0199.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 2346.96, 'Juros': 105.61, 'Multa': 275.76, 'Total': '2728.33', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 2346.91, 'Juros': 375.51, 'Multa': 469.38, 'Total': '3191.80', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 5987.07}]"
Imóvel,105.377.0235.000,"Avenida AV. CJ-01         0 QD.06 LT. 16 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 06 16",105.377.0235.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.382.0049.000,"Rua CJ-06         0 QD.11 LT. 04 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 11 04",105.382.0049.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 320.88, 'Juros': 4.81, 'Multa': 16.05, 'Total': '341.74', 'Vencidas': 2, 'A Vencer': 0}], 'Total Origem': 341.74}]"
Imóvel,105.382.0109.000,"Rua CJ-06         0 QD.11 LT. 09 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 11 09",105.382.0109.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.382.0235.000,"Rua CJ-05         0 QD.11 LT. 16 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 11 16",105.382.0235.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.382.0247.000,"Rua CJ-05         0 QD.11 LT. 17 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 11 17",105.382.0247.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.383.0259.000,"Rua CJ-06         0 QD.12 LT. 18 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 12 18",105.383.0259.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.384.0133.000,"Rua CJ-11         0 QD.13 LT. 11 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 13 11",105.384.0133.000,"[{'Situação': 'Dívida Ativa', 'Divida': [{'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 29.23, 'Juros': 4.68, 'Multa': 5.85, 'Total': '39.76', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 1785.33}]"
Imóvel,105.387.0061.000,"Rua CJ-14         0 QD.16 LT. 05 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 16 05",105.387.0061.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 31.8, 'Juros': 2.54, 'Multa': 6.36, 'Total': '40.70', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1532.82}]"
Imóvel,105.388.0049.000,"Rua CJ-15         0 QD.17 LT. 04 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 17 04",105.388.0049.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.389.0295.000,"Rua CJ-15         0 QD.18 LT. 21 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 18 21",105.389.0295.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.391.0328.000,"Rua CJ-17         0 QD.20 LT. 23 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 20 23",105.391.0328.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.392.0209.000,"Rua CJ-22         0 QD.21 LT. 04 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 21 04",105.392.0209.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1289.92, 'Juros': 58.04, 'Multa': 151.57, 'Total': '1499.53', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1533.47}]"
Imóvel,105.392.0222.000,"Rua CJ-22         0 QD.21 LT. 05 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 21 05",105.392.0222.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1289.92, 'Juros': 58.04, 'Multa': 151.57, 'Total': '1499.53', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1533.47}]"
Imóvel,105.392.0235.000,"Rua CJ-22         0 QD.21 LT. 06 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 21 06",105.392.0235.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1289.92, 'Juros': 58.04, 'Multa': 151.57, 'Total': '1499.53', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1533.47}]"
Imóvel,105.393.0274.000,"Rua CJ-24         0 QD.22 LT. 17 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 22 17",105.393.0274.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1289.52, 'Juros': 58.02, 'Multa': 151.5, 'Total': '1499.04', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1289.49, 'Juros': 206.32, 'Multa': 257.9, 'Total': '1753.71', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3319.69}]"
Imóvel,105.394.0013.000,"Rua CJ-24         0 QD.23 LT. 01 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 23 01",105.394.0013.000,"[{'Situação': 'Dívida Parcelada', 'Divida': [{'Ano': '2023', 'Mês': '09', 'Tributo': 'Parcelamento DA', 'Valor Atual': 838.09, 'Juros': 0.0, 'Multa': 0.0, 'Total': '838.09', 'Vencidas': 0, 'A Vencer': 2}], 'Total Origem': 838.09}]"
Imóvel,105.394.0306.000,"Rua CJ-25         0 QD.23 LT. 19 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 23 19",105.394.0306.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1289.52, 'Juros': 58.02, 'Multa': 151.5, 'Total': '1499.04', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1532.98}]"
Imóvel,105.396.0223.000,"Rua CJ-14         0 QD. 25 LT. 15 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 25 15",105.396.0223.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1283.51, 'Juros': 205.36, 'Multa': 256.7, 'Total': '1745.57', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3304.63}]"
Imóvel,105.398.0066.000,"Rua CJ-13         0 QD.27 LT. 03 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 27 03",105.398.0066.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1283.52, 'Juros': 57.76, 'Multa': 150.84, 'Total': '1492.12', 'Vencidas': 8, 'A Vencer': 0}], 'Total Origem': 1526.06}]"
Imóvel,105.405.0165.000,"Avenida CJ-02         0 QD.34 LT. 09 RESIDENCIAL CAMPOS DO JORDAO, Qt.Qd.Lt.SubLt. 34 09",105.405.0165.000,"[{'Situação': 'Dívida Corrente', 'Divida': [{'Ano': '2023', 'Mês': '01', 'Tributo': 'CIP', 'Valor Atual': 26.52, 'Juros': 2.12, 'Multa': 5.3, 'Total': '33.94', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2023', 'Mês': '01', 'Tributo': 'ITU', 'Valor Atual': 1325.6, 'Juros': 59.66, 'Multa': 155.77, 'Total': '1541.03', 'Vencidas': 8, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'CIP - DA', 'Valor Atual': 24.27, 'Juros': 3.88, 'Multa': 4.85, 'Total': '33.00', 'Vencidas': 1, 'A Vencer': 0}, {'Ano': '2022', 'Mês': '01', 'Tributo': 'ITU - DA', 'Valor Atual': 1325.6, 'Juros': 212.1, 'Multa': 265.12, 'Total': '1802.82', 'Vencidas': 1, 'A Vencer': 0}], 'Total Origem': 3410.79}]"
